operation,count,mean_ms,std_ms,min_ms,max_ms,total_ms,p50_ms,p95_ms,p99_ms
add_frame_to_history,400,0.014622789999999998,0.0037907179340990276,0.008646,0.037741,5.8491159999999995,0.013851,0.02222554999999999,0.028459999999999996
check_track_closures,40,0.093343925,0.17737727055254113,0.005249,1.060204,3.7337569999999998,0.046432,0.1646612999999988,0.8684292999999996
cleanup_stale_snapshots,4,0.034208999999999996,0.018135793586165454,0.01596,0.059912,0.13683599999999999,0.030482000000000002,0.05731669999999999,0.05939294
create_output_images,400,4.53621515,0.41412170722414743,3.95386,7.702414,1814.4860600000002,4.4470475,5.182468799999997,6.172423149999996
process_frame,400,29.3759192325,3.5716374772239057,23.622037,64.469321,11750.367693,28.952192500000002,34.11782664999999,38.76793208999998
process_tracks,400,8.611630585,1.817741785544796,4.924116,16.690946,3444.652234,8.5520195,11.7197584,13.117997989999997
segment_frame,400,12.9062882575,0.939869641046069,11.439278,24.61164,5162.515303,12.82984,14.20455935,15.402273589999998
trigger_query_assignment,4,11.61083425,2.995517480463215,8.344527,14.674893,46.443337,11.7119585,14.6522547,14.67036534
update_object_positions,4,3.1913275000000003,0.32599317131920114,2.704031,3.618301,12.765310000000001,3.221489,3.5650564,3.6076520800000003
update_tracks,400,3.0253386250000007,1.8059387263829951,1.760825,25.450088,1210.1354500000002,2.5529225,5.431795899999975,9.184857229999999
