operation,count,mean_ms,std_ms,min_ms,max_ms,total_ms,p50_ms,p95_ms,p99_ms
add_frame_to_history,400,0.020938282500000002,0.01005394480404054,0.008365,0.071193,8.375313,0.017398,0.03815364999999994,0.05520741
check_track_closures,40,0.10310145,0.16185187763893102,0.008676,1.071415,4.124058,0.071569,0.17711539999999998,0.7240786599999995
cleanup_stale_snapshots,4,0.05818374999999999,0.025544984902863024,0.028593,0.099005,0.23273499999999997,0.0525685,0.09227989999999998,0.09765997999999998
create_output_images,400,4.991935120000001,1.102528370003759,3.99772,14.685531,1996.7740480000002,4.620191,7.471566799999998,8.633494179999996
process_frame,400,37.66853268,8.804118836113483,23.57246,67.052132,15067.413072,35.708264,56.821786249999995,61.70295308999999
process_tracks,400,10.076700117499998,2.9873040764818835,4.934053,25.652643,4030.6800469999994,9.582065,15.39367674999999,19.619961789999998
segment_frame,400,17.9256706375,6.9426397261801815,11.881053,45.910359,7170.268255,15.739172,34.38016654999999,44.18654651999999
trigger_query_assignment,4,14.3611435,4.793610920593864,8.092032,20.869192,57.444574,14.241674999999999,20.214306999999998,20.738215
update_object_positions,4,6.3344735,2.9703777085924195,2.950992,10.758532,25.337894,5.814185,10.221753099999999,10.65117622
update_tracks,400,4.202356205,2.335316866914041,0.819133,16.769029,1680.942482,3.2968695,8.4460015,10.646259709999994
